10000,565
10010,102
10001,21
00002,408
10100,109
10021,1
10020,4
10200,3
00012,60
00102,45
12000,40
02002,62
12200,3
11000,51
11010,8
11100,13
01002,3
11001,2
10110,7
10011,1
10120,1
01000,1525
01010,195
01100,258
00122,2
01120,2
01001,59
01200,38
00100,1514
00001,180
00011,27
00000,4145
00010,1057
00110,189
00200,36
00210,9
00220,9
00101,51
02100,69
02000,956
02001,6
02010,96
02200,14
02220,6
00120,20
00022,12
00020,25
00121,7
01011,4
01111,1
01101,4
01021,1
02120,1
02020,4
00021,2
01020,7
00111,4
00222,3
10002,13
11210,1
01220,3
01210,5
02102,1
01110,12
01221,1
02012,2
02110,2
02022,1
02210,3
21000,123
20002,44
21010,10
21001,10
21100,7
20102,3
20100,96
20120,3
20010,71
20000,358
20001,9
20011,2
20110,5
20121,1
22100,3
22010,17
22000,81
22002,6
22020,1
22200,2
22222,1
20022,1
20012,1
20020,1
20220,1
20200,1
21120,1
00112,3
01022,1
01121,1
01102,2
00211,1
10102,3
10012,1
10022,1
11020,1
11200,1
12010,3
12002,1
12100,2
10210,1
